model,n_switch_pairs,exact_pair_delta_pp,margin_switch_delta_pp
LLaMA-3.2-1B,16409,2.4340301054299402,5.431165823633382
LLaMA-3.2-3B,16409,3.918581266378212,8.390517398988386
Qwen2.5-0.5B,16409,3.0727040039002738,6.285574989335169
Qwen2.5-1.5B,16409,9.564263513925344,17.44530440611851
Qwen2.5-3B,16409,9.909196172832058,19.300383935644952
Qwen3.5-0.8B,16409,3.3359741605216526,7.326467182643717
Qwen3.5-2B,16409,8.695228228411285,15.814492047047368
Qwen3.5-4B,16409,1.2980681333414585,2.845999146809667
Qwen3.5-9B,16409,1.1956852946553715,2.490096898043748
Gemma-4-E2B-it,16409,3.9076116765189797,8.311292583338483
Gemma-4-E4B-it,16409,8.381985495764555,16.96508013894814
Mistral-7B-Instruct-v0.2,16409,15.926625632274952,27.963922237796073
