group,label,row_key,track,localnewsqa_ambiguous,localnewsqa_exact_pair,localnewsqa_explicit,localnewsqa_margin_switch,localnewsqa_overall
Gemma-4 family,Gemma-4-E2B Base,gemma4_e2b,base,-0.1176470588235294,0.5294117647058824,2.2058823529411766,2.2941176470588234,1.9946524064171123
Gemma-4 family,Gemma-4-E2B-it,gemma4_e2b,chat,2.823529411764706,3.4705882352941178,0.8470588235294116,9.823529411764707,1.0267379679144384
Gemma-4 family,Gemma-4-E4B Base,gemma4_e4b,base,-0.8823529411764706,0.5882352941176471,0.6294117647058823,2.2941176470588234,0.4919786096256685
Gemma-4 family,Gemma-4-E4B-it,gemma4_e4b,chat,7.11764705882353,8.764705882352942,2.229411764705882,23.176470588235293,2.6737967914438503
LLaMA family,LLaMA-3.2-1B Base,llama32_1b,base,-0.1176470588235294,1.352941176470588,-1.3235294117647058,7.352941176470589,-1.213903743315508
LLaMA family,LLaMA-3.2-1B Inst.,llama32_1b,chat,0.411764705882353,3.058823529411765,-2.5176470588235293,9.176470588235293,-2.251336898395722
LLaMA family,LLaMA-3.2-3B Base,llama32_3b,base,5.176470588235294,5.0,-1.6,16.176470588235293,-0.983957219251337
LLaMA family,LLaMA-3.2-3B Inst.,llama32_3b,chat,-2.6470588235294117,3.6470588235294117,-8.547058823529412,10.588235294117647,-8.010695187165776
MAPLE family,MAPLE 1B Base,maple_1b,base,6.705882352941177,1.8823529411764703,0.8588235294117647,8.235294117647058,1.3903743315508021
MAPLE family,MAPLE 1B Chat,maple_1b,chat,4.411764705882353,2.0,0.8764705882352942,6.529411764705882,1.1978609625668448
MAPLE family,MAPLE 3B Base,maple_3b,base,9.235294117647058,8.764705882352942,2.1470588235294117,25.11764705882353,2.7914438502673797
MAPLE family,MAPLE 3B Chat,maple_3b,chat,10.117647058823529,5.11764705882353,1.4058823529411764,13.647058823529413,2.1978609625668453
Ministral family,Ministral-3-3B Base,ministral3_3b,base,4.823529411764706,4.470588235294118,0.2647058823529412,16.235294117647058,0.6791443850267379
Ministral family,Ministral-3-3B Inst.,ministral3_3b,chat,6.411764705882353,5.647058823529412,0.3764705882352941,18.529411764705884,0.9251336898395721
Qwen2.5 family,Qwen2.5-1.5B Base,qwen25_1p5b,base,1.411764705882353,1.4705882352941175,-0.8823529411764706,5.411764705882352,-0.6737967914438503
Qwen2.5 family,Qwen2.5-1.5B Inst.,qwen25_1p5b,chat,8.529411764705882,7.705882352941177,-2.864705882352941,20.411764705882355,-1.8288770053475936
Qwen2.5 family,Qwen2.5-3B Base,qwen25_3b,base,8.823529411764707,10.470588235294118,-3.723529411764706,25.294117647058822,-2.5828877005347595
Qwen2.5 family,Qwen2.5-3B Inst.,qwen25_3b,chat,8.705882352941176,8.235294117647058,-0.19411764705882353,25.23529411764706,0.6149732620320856
Qwen3.5 family,Qwen3.5-0.8B Base,qwen35_0p8b,base,2.5294117647058822,2.705882352941176,-1.0588235294117647,8.470588235294118,-0.732620320855615
Qwen3.5 family,Qwen3.5-0.8B Chat,qwen35_0p8b,chat,3.7647058823529407,2.235294117647059,-1.5588235294117647,8.294117647058824,-1.0748663101604277
Qwen3.5 family,Qwen3.5-2B Base,qwen35_2b,base,9.647058823529411,9.176470588235293,0.18823529411764706,22.35294117647059,1.0481283422459893
Qwen3.5 family,Qwen3.5-2B Chat,qwen35_2b,chat,11.235294117647058,8.529411764705882,1.7941176470588234,20.411764705882355,2.6524064171122994
Qwen3.5 family,Qwen3.5-4B Base,qwen35_4b,base,1.4705882352941175,1.1764705882352942,-0.03529411764705882,3.5882352941176467,0.10160427807486631
Qwen3.5 family,Qwen3.5-4B Chat,qwen35_4b,chat,1.2941176470588236,0.823529411764706,0.0588235294117647,3.1176470588235294,0.1711229946524064
