label,model,RC1,RC2
GPT-5.4,gpt-5.4,0.5336767181285217,-0.4051112548103652
GPT-5.4-nano,gpt-5.4-nano,0.7008847196233752,0.853341886544532
Claude Opus 4.7,claude-opus-4-7,1.6596780877774862,0.4204605409406904
Claude Sonnet 4.6,claude-sonnet-4-6,0.8843700429471101,0.7891789348361458
Claude Haiku 4.5,claude-haiku-4-5-20251001,0.5266106560544533,-0.4941056958759454
Gemini 2.5 Pro,gemini-2.5-pro,1.7525342797647827,0.6833075282822869
Gemini 2.5 Flash,gemini-2.5-flash,0.5153896543622504,-0.523252801301774
Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,0.7677512708670414,0.2430796395294739
Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.1340902002718554,-0.6672147389874674
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,0.6433337483062888,-0.2795718380952487
Qwen 3.5 397B,Qwen/Qwen3.5-397B-A17B,0.5777062725747356,-0.303052999306026
GLM-5.1,zai-org/GLM-5.1,1.9331162084582496,1.3924385087683573
Kimi K2.5,moonshotai/Kimi-K2.5,1.847482929272652,1.3764707575404953
Gemma 4 31B,gemma-4-31b-it,3.477294447359976,1.0356697238045485
"MAPLE 1B (T+, I+)",,-0.38253961376678797,0.10413519314849108
"MAPLE 3B (T+, I+)",,0.252017922535934,0.6172642446721941
