series,family,split,accuracy,correct,total
1B T+/I+,1B,Explicit,0.3686103262265605,7175,19465
1B T+/I+,1B,Ambiguous,0.4439636784691328,7285,16409
1B T+/I+,1B,Overall,0.4030774376986118,14460,35874
1B T-/I-,1B,Explicit,0.308656563061906,6008,19465
1B T-/I-,1B,Ambiguous,0.3682125662746054,6042,16409
1B T-/I-,1B,Overall,0.3358978647488432,12050,35874
3B T+/I+,3B,Explicit,0.30947855124582585,6024,19465
3B T+/I+,3B,Ambiguous,0.3761350478396002,6172,16409
3B T+/I+,3B,Overall,0.3399676646038914,12196,35874
3B T-/I-,3B,Explicit,0.30552273311071154,5947,19465
3B T-/I-,3B,Ambiguous,0.359802547382534,5904,16409
3B T-/I-,3B,Overall,0.3303506717957295,11851,35874
LLaMA-3.2-1B (I+),1B,Explicit,0.47135884921654253,9175,19465
LLaMA-3.2-1B (I+),1B,Ambiguous,0.5281857517216162,8667,16409
LLaMA-3.2-1B (I+),1B,Overall,0.49735184256007137,17842,35874
LLaMA-3.2-1B (I-),1B,Explicit,0.519650655021834,10115,19465
LLaMA-3.2-1B (I-),1B,Ambiguous,0.5701749040160887,9356,16409
LLaMA-3.2-1B (I-),1B,Overall,0.5427607738194793,19471,35874
